Predicted,Actual
119.94287,116.46
119.17404,117.65
118.47562,118.72
117.93041,118.14
117.58171,119.68
117.46727,117.46
117.54176,116.53
117.7128,116.47
117.89294,114.01
117.971725,118.23
117.97001,117.09
117.91919,120.82
117.92694,121.09
118.08145,122.78
118.45285,124.44
119.08723,129.46
120.08337,124.27
121.330376,127.43
122.720665,124.85
124.06754,123.25
125.1657,124.19
125.90907,122.95
126.249756,122.11
126.19373,121.12
125.78345,121.9
125.12238,122.22
124.33885,125.09
123.61337,123.38
